HOME_AND_FAMILY:GARDENING,IAB10-4,,,,,,,,,
HOME_AND_FAMILY:GENERAL,IAB6,,,,,,,,,
HOME_AND_FAMILY:KIDS,IAB6-8,,,,,,,,,
HOME_AND_FAMILY:PARENTING,"IAB6-5,",,,,,,,,,
HOME_AND_FAMILY:PETS,IAB16,,,,,,,,,
HOME_AND_FAMILY:REAL_ESTATE,IAB21,,,,,,,,,
INTERNET:BLOGS,IAB19-18,,,,,,,,,
INTERNET:GENERAL,IAB19-18,,,,,,,,,
INTERNET:PORTALS,IAB19-18,,,,,,,,,
INTERNET:SOCIAL_NETWORKING,IAB19-18,,,,,,,,,
NEWS_AND_MEDIA:NEWS,,,,,,,,,,
NEWS_AND_MEDIA:POLITICS,,,,,,,,,,
NEWS_AND_MEDIA:RELIGION,,,,,,,,,,
NEWS_AND_MEDIA:TRAFFIC,,,,,,,,,,
NEWS_AND_MEDIA:WEATHER,,,,,,,,,,
SHOPPING:APPAREL,IAB22,,,,,,,,,
SHOPPING:BEAUTY,IAB18-1,,,,,,,,,
SHOPPING:CONSUMER_ELECTRONICS,,,,,,,,,,
SHOPPING:COUPONS,IAB22-2,,,,,,,,,
SHOPPING:GENERAL,IAB18,,,,,,,,,
SHOPPING:LUXURY,IAB18,,,,,,,,,
SPORTS:COLLEGE,IAB17,,,,,,,,,
SPORTS:EXTREME,IAB17,,,,,,,,,
SPORTS:GENERAL,IAB17,,,,,,,,,
SPORTS:NEWS,IAB17,,,,,,,,,
SPORTS:OUTDOORS,IAB17,,,,,,,,,
SPORTS:PROFESSIONAL,IAB17,,,,,,,,,
SPORTS:SUMMER,IAB17,,,,,,,,,
SPORTS:WATER,IAB17-38,,,,,,,,,
SPORTS:WINTER,"IAB17-36,IAB17-36",,,,,,,,,
TECH:CONSUMER,,,,,,,,,,
TECH:HARDWARE,IAB19-9,,,,,,,,,
TECH:INFORMATION_TECHNOLOGY,IAB19,,,,,,,,,
TECH:NEWS,IAB19,,,,,,,,,
TECH:PLATFORMS,IAB19,,,,,,,,,
TECH:SOFTWARE,IAB19-18,,,,,,,,,
TECH:WEB,IAB19-33,,,,,,,,,
TRAVEL:AIR,IAB20-3,,,,,,,,,
TRAVEL:BOOKINGS,IAB20,,,,,,,,,
TRAVEL:DESTINATIONS,IAB20,,,,,,,,,
TRAVEL:GENERAL,IAB20,,,,,,,,,
TRAVEL:GUIDES_REFERENCE,IAB20,,,,,,,,,
TRAVEL:LAND,IAB20,,,,,,,,,
TRAVEL:SEA,IAB20,,,,,,,,,
